! Name = "X", Data Type="DOUBLE", Z Domain="OTHER", Working Datum="0.0"
! Name = "Y", Data Type="DOUBLE", Z Domain="OTHER", Working Datum="0.0"
! Name = "Delta-Z", Data Type="DOUBLE", Z Domain="OTHER", Working Datum="0.0"
X,Y,Delta-Z
"458305.5625","6783575.5","-11.20947265625"
"455621.0625","6783237","-5.6500244140625"
"461070.28125","6785748","5.3466796875"
"455810.5","6781571.5","-21.21533203125"
"461552.40625","6785859","15.5404052734375"
"461220","6786701","18.5618896484375"
"460870.84375","6787779","6.1962890625"
"460778.28125","6787789.5","9.2403564453125"
"458546.25","6785170","20.0657958984375"
"457971.71875","6788193.5","2.959228515625"
"457673.40625","6786147.5","11.317138671875"
"459981.09375","6786549.5","8.796875"
"461791.03125","6787385","8.8128662109375"
"461497.5625","6786971.5","7.460205078125"
"457250.8125","6782937","5.5828857421875"
"459443.8125","6788568","-6.0443115234375"
"456150.53125","6782037.5","-12.531494140625"
"455927.4375","6783536.5","-6.6724853515625"
"457678.03125","6786122.5","11.06103515625"
"462192.84375","6785982.5","10.348388671875"
"457164.53125","6785895.5","63.4461669921875"
"462861.8125","6786938.5","-4.379150390625"
"456544.21875","6786145","6.8828125"
"455327.28125","6781769.5","-69.32080078125"
"456807.0625","6782147","1.8511962890625"
"456710.9375","6783336.5","15.5426025390625"
"460143.625","6788053.5","11.64404296875"
"456909.6875","6786912.5","-10.287353515625"
"459048.0625","6785329","20.644775390625"
"462433.21875","6787007.5","14.5970458984375"
"458848.9375","6783185.5","3.06591796875"
"461421.875","6787915","3.4896240234375"
"456466.625","6782614","0.970703125"
"462128.40625","6787443","34.10888671875"
"456908.90625","6782222.5","-22.7020263671875"
"458599.3125","6787298","6.471435546875"
"455058.15625","6784005","1.1328125"
"458913.53125","6785820.5","16.3001708984375"
"459049.53125","6784757","29.044189453125"
"458536.71875","6786618.5","9.3861083984375"
"461897.46875","6786233.5","-0.8934326171875"
"461999.9375","6787934.5","20.5406494140625"
"457043.59375","6784553","10.9866943359375"
"456365.28125","6784176","30.9193115234375"
"456456.25","6784448.5","9.507080078125"
"460235.21875","6786283.5","14.5430908203125"
"461921.9375","6786290","-1.6363525390625"
"458737.71875","6785959.5","13.14404296875"
"456575.21875","6782843.5","7.7384033203125"
"458508.84375","6785151.5","22.2806396484375"
"458847.90625","6785830","16.684326171875"
"456551.03125","6786040.5","1.9959716796875"
"457361.15625","6785996","10.059814453125"
"459878.3125","6785933.5","12.5029296875"
"457637.125","6783206","-7.867431640625"
"456575.9375","6786479.5","-0.4779052734375"
"458346.15625","6785822.5","6.5220947265625"
"461670.34375","6787925","25.8568115234375"
"457342.65625","6785965","8.84912109375"
"458663.78125","6788537","-7.13916015625"
"460266.40625","6786384.5","18.521240234375"
"456945.40625","6787022.5","-9.007080078125"
"460562.375","6787945.5","5.898681640625"
"457689.4375","6787494","7.1966552734375"
"454799.96875","6783674","-7.62841796875"
"455156.21875","6782064.5","0.029541015625"
"457182.03125","6782678","-0.815673828125"
"453661","6783280.5","-8.9151611328125"
"457544.875","6783069.5","-0.5963134765625"
"455698.96875","6785505","4.1529541015625"
"457041.6875","6785454","-17.219970703125"
"458572.96875","6786642.5","5.64111328125"
"460000.375","6787430","12.0811767578125"
"459608.53125","6789206.5","-0.64306640625"
"458728.75","6785127.5","20.487548828125"
"462155.5","6787946","-1.161865234375"
"460299.03125","6785123.5","6.51953125"
"459861.8125","6785485.5","8.884033203125"
"458002.6875","6782454","12.754150390625"
"459986.21875","6787239.5","9.398193359375"
"457525.15625","6782337.5","-0.5595703125"
"460450.5625","6787084","8.910888671875"
"457626.21875","6784056.5","7.22216796875"
"456216.84375","6786897","10.2618408203125"
"458890.3125","6785860","13.9796142578125"
"461983.15625","6785463","9.628173828125"
"456903.40625","6783543","7.201904296875"
"458621.25","6787757","-1.7327880859375"
"461316.3125","6787046.5","10.3690185546875"
"462242.78125","6788601","4.902099609375"
"456554.84375","6783343.5","14.7762451171875"
"459722.0625","6787174","15.3189697265625"
"457803.53125","6785878.5","17.3311767578125"
"456971.875","6785881","-3.8873291015625"
"457135.8125","6785130.5","-2.8348388671875"
"457578.6875","6788221","-5.4229736328125"
"455585.59375","6785895.5","4.07861328125"
"455119.3125","6781545","-16.804443359375"
"459050.15625","6786756.5","4.967529296875"
"458485.375","6782779.5","5.58056640625"
"457802.90625","6782674","6.205322265625"
"458104.4375","6783770","4.09912109375"
"459879.0625","6786004","8.529052734375"
"456852.4375","6789165.5","2.3341064453125"
"460479","6786735.5","11.580078125"
"455725.46875","6782694.5","-0.9561767578125"
"458652.59375","6783049.5","7.7738037109375"
"458606","6784645.5","-3.2764892578125"
"456720.71875","6785561.5","1.9013671875"
"458680.8125","6789372.5","-5.184814453125"
"456503","6783922","21.848388671875"
"453510.875","6787511","9.550537109375"
"462092.4375","6788871.5","-5.8912353515625"
"457668.90625","6787588.5","2.903076171875"
"458420.375","6785532","15.550048828125"
"455567.65625","6786713","4.6375732421875"
"458227.34375","6784151.5","-0.5853271484375"
